,Final Accuracy,Best Accuracy,Avg Accuracy,Convergence Speed,Stability (Std),Avg Reward,Training Time (s)
PPO,0.6666666666666666,0.75,0.7083333333333333,10.0,0.03333333333333335,0.12669815718837898,13.245956182479858
SAC,0.5833333333333334,0.75,0.7,11.0,0.06666666666666665,0.12521635552656504,44.32708978652954
Random,0.5166666666666667,0.7333333333333333,0.5191666666666667,20.0,0.04027681991198191,0.0,0.0
TD3,0.5,0.5,0.5,20.0,0.0,0.12476181418607087,37.45291185379028
